Species_code,Log2_Body_size,Volume,SV,MLD,Flagella,Silice,Mucilage,Aerotopes,MBFG,Biovolume,Category
116,4,18.85,2.1,8,0,0,0,0,I,63.54,MC
117,9,384.85,0.7,15,0,0,0,0,IV,1525.77,MC
118,7,150.8,0.9,8.2,0,0,0,0,IV,0,MC
119,10,1140.4,0.5,18.3,0,0,0,0,IV,4265.66,MC
120,10,1415.81,0.4,15.7,0,0,0,0,IV,262.6,MC
121,12,5717.7,0.9,56,0,0,0,0,IV,27.74,MC
122,12,3518.58,1.3,50,0,0,0,0,IV,0,MC
123,8,301.59,1.3,8.9,0,0,0,0,IV,76.87,MC
124,8,234.57,1.2,13.5,0,0,0,0,IV,5.37,MC
125,10,829.38,0.9,10.6,0,0,0,0,IV,45.98,MC
126,6,50.27,2.5,5.97,0,0,0,0,IV,0,MC
127,6,69.46,1.2,5.1,0,0,0,0,IV,886.28,MC
128,8,212.17,0.8,7.4,0,0,0,0,IV,1831.73,MC
129,5,33.51,1.5,4,0,0,0,0,IV,0,MC
130,6,47.4,1.34,4.49,0,0,0,0,IV,18.96,MC
131,8,235.62,1.1,51.18,0,0,1,0,VII,27.25,MC
132,11,2822.2,0.8,15,0,0,1,0,VII,941.56,MC
133,8,293.22,1.3,17,0,0,1,0,VII,231.96,MC
134,10,785.4,0.5,14.7,1,0,0,0,V,2830.21,MC
135,9,551.35,0.6,12.8,1,0,0,0,V,217.15,MC
136,10,837.76,0.5,16,1,0,0,0,V,1616.18,MC
137,9,368.61,0.7,11,1,0,0,0,V,66.13,MC
138,8,188.5,0.9,10,1,0,0,0,V,151.59,MC
139,10,1256.64,0.6,12,0,0,0,0,IV,0,MC
140,10,751.36,1,14.2,0,0,0,0,IV,6357.83,MC
141,10,1118.41,0.8,35,0,0,0,0,IV,3792.34,MC
142,10,814.97,0.7,38,0,0,0,0,IV,843.49,MC
143,15,23882.41,0.2,60.54,1,0,0,0,V,14612.02,MC
144,11,2508.11,0.3,30.53,1,0,0,0,V,3745.51,MC
145,15,31864.56,0.1,59.11,1,0,0,0,V,20330.07,MC
146,12,3951.34,0.8,42.63,1,0,0,0,V,1876.42,MC
147,9,523.6,0.6,10,1,0,0,0,V,425.43,MC
148,10,1436.76,0.4,14,1,0,0,0,V,0,MC
149,5,31.06,1.54,3.9,1,0,0,0,V,47.69,MC
150,6,77.95,1.13,5.3,1,0,0,0,V,47.58,MC
1,6,79.17,3.4,70,0,0,0,0,IV,141.45,LC
2,8,212.06,2.7,120,0,0,0,0,IV,61.69,LC
3,6,57.74,3.1,43.5,0,0,0,0,IV,0,LC
4,5,31.81,2.8,19,0,0,0,0,IV,0,LC
5,6,84.29,3.7,88.7,0,0,0,0,IV,37.04,LC
6,11,1570.8,1,125,0,0,0,1,III,2835.06,LC
7,10,1256.64,1,100,0,0,0,1,III,0,LC
8,11,2428.92,0.9,140,0,0,0,1,III,1420.56,LC
9,10,1361.88,1.2,150,0,0,0,0,IV,594.27,LC
10,8,301.72,1.5,49,0,0,0,0,IV,651.17,LC
11,7,113.1,2.7,64,0,0,0,0,IV,1310.93,LC
12,10,785.4,2,250,0,0,0,0,IV,2210.07,LC
13,4,21.21,4.1,27,0,0,0,0,IV,0,LC
14,7,125.66,2.1,40,0,0,0,0,IV,0,LC
15,5,31.16,3.5,30,0,0,0,0,IV,69.12,LC
16,5,32.27,1.5,3.95,0,0,0,0,IV,254.39,LC
