sites,Geitlerinema_sp.,Geitlerinema_sp2,Geitlerinema_sp3,Komvophoron_sp.,Jaaginema_sp.,Limnothrix_sp1,Limnothrix_sp2,Limnothrix_sp3,Oscillatoria_sp1,Oscillatoria_sp2,Pseudanabaena_limnetica,Pseudanabaena_catenata,cf.Raphidiopsis,Romeria_sp.,cf.Spirulina,Synechocystis_aquatilis,Synechococcus_sp.,Chroococcus_sp.,cf.Cyanobium_sp.,Chroococcales_unicelular_1,Chroococcales_colonial_1,Chroococcales_colonial_3,Chroococcales_colonial_4,Merismopedia_sp,Pseudanabaena_sp1,Pseudanabaena_sp2,Pseudanabaena_sp3,Pseudanabaena_sp4,Pseudanabaena_sp5,Pseudanabaenaceae_1,Pseudanabaenaceae_2,Pseudanabaenaceae_7,Oscillatoriales_1,Oscillatoriales_2,Oscillatoriales_4,Oscillatoriales_6,Aulacoseira_granulata,Aulacoseira_sp1,Aulacoseira_sp2,Cyclotella_cf.meneghiniana,Cyclotella_sp2,Cyclotella_sp3,Melosira_sp1,Centrales_1,Achnanthes_inflata,Achnanthes_cf.rupestoides,Achnanthes_sp1,Achnanthes_sp2,cf.Achnanthidium_sp,Amphora_sp.,Cymbela_sp.,cf.Encyonema,Fragillaria_capucina,Fragillaria_capucina_var.gracilis,Fragillaria_capucina_cf.var.fragilarioides,Fragillaria_sp.,cf.Frustulia,Gomphonema_augur,Gomphonema_cf.olivaceum,Gomphonema_cf.truncatum,Gomphonema_sp1,Gomphonema_sp2,Gyrosigma/Pleurosigma,Hantszchia_sp.,Navicula_sp1,Navicula_sp2,Navicula_sp3,Navicula_sp4,Naviculales,Nitzschia_sp1,Nitzschia_sp2,Pinnularia_sp_1,Pinnularia_sp2,Pinullaria_sp4,Pinullaria_sp6,Pinnularia_sp_7,Stauroneis_borrichii,Surirella_cf.minuta,Surirella_sp1,Synedra_sp.,cf.Urosolenia,Pennales_1,Pennales_2,Pennales_3,Pennales_4,Pennales_5,Penales_6_,Pennales_7,Pennales_9,Pennales_10,Pennales_11,Pennales_12,Pennales_13,Actinastrum_sp.,Actinastrum_cf.hantzchii,Ankistrodesmus_sp.,Chlorella_sp1,Chlorella_sp_2,Chlorella_sp3,Coelastrum_sp.,Crucigenia_fenestrata,Crucigenia_sp2,Crucigeniella_sp.,Desmodesmus_quadricauda,Desmodesmus_sp1,Desmodesmus_sp2,Desmodesmus_sp3,Desmodesmus_sp4,Desmodesmus_sp5,Dictyosphaerium_sp.,cf.Koliella_sp.,Monoraphidium_arcuatum,Monoraphidium_contortum,Monoraphidium_convolutum,Monoraphidium_komarkovae,Monoraphidium_minutum,Oocystis_sp1,Oocystis_sp2,Oocystis_sp3,Pandorina_sp.,Pediastrum_sp1,Pediastrum_sp2,Scenedesmus_sp1,Scenedesmus_sp2,Scenedesmus_sp3,Scenedesmus_sp_4,Chlorococcales_1,Chlorococcales_2,Chlorococcales_3,Chlorococcales_4,Chlorococcales_5,Chlorococcales_6,Chlorococcales_7,cf.Cryptomonas_sp1,cf.Cryptomonas_sp2,Cryptophyceae_1,Cryptophyceae_2,Cryptophyceae_3,Cosmarium_sp.,Staurastrum_sp.,Staurodesmus_sp.,Dinobryon_sp.,Euglena_sp1,Euglena_sp2,Euglena_sp3,Phacus_sp.,Strombomonas_sp.,Trachelomonas_sp.,Flagellates_1,Flagellates_2
MAR P1,10695.867,0,0,0,0,0,0,0,0,0,0,45474.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24683.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABR P1,0,0,0,0,0,0,0,0,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3337.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14241.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAI P2,0,0,0,0,0,0,0,0,0,0,0,3769.92,0,0,0,0,0,0,0,0,0,0,0,0,190083.264,4712.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77375.52,0,0,0,0,0,0,0
JUN P2,0,0,0,0,0,0,0,0,0,0,8731.32,45474.66,0,0,0,0,0,0,0,0,0,0,0,0,0,18947.775,0,0,0,0,0,0,0,0,0,0,0,43673.777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JUL P2,0,0,0,0,0,33929.28,0,0,0,0,2442.96,45239.04,0,0,0,464.688,90.504,0,0,30.168,0,0,0,0,0,42411.6,61412.04,0,0,0,0,0,0,0,0,0,0,0,0,2064.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14193.504,0,0,0,0,0,0
AGO P2,0,0,0,0,0,0,0,0,0,0,19317.48,126480.816,0,0,0,1417.2984,0,0,0,0,1035.048,0,0,0,0,0,0,187516.928,0,0,3109.2432,0,5519.0848,0,0,0,0,0,0,0,801.3936,0,0,0,0,0,0,0,0,0,0,0,2055.3096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17186.1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958.188,228.2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772.2696,0,0,0,0,0,177.388,0,0,0,3050.6832,14496.1376,0,0,0,5445.6896,0,0,0,4088.2688,0,0,0,0,0,0,0,0,0,0,0,0,151.5728,380.396
SET P2,0,0,0,0,0,0,0,0,13291.9488,0,22629.048,53658.528,0,0,0,1732.2536,61.3416,0,0,0,0,0,0,0,0,0,0,192451.584,0,0,3109.2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4110.6192,0,0,35526.2048,0,21799.448,57887.8776,8230.7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34372.3776,0,62511.6288,0,0,0,0,0,0,0,0,0,0,0,0,1596.98,2054.1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772.2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39332.556,0,0,0,0,0,757.864,0
OUT P2,10687.95,0,0,1844.98,0,0,0,0,0,0,0,106029,0,0,0,0,0,0,0,0,551.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOV P2,0,0,0,0,0,0,0,0,0,0,3257.28,0,0,0,0,0,0,0,0,0,0,0,0,8232,54309.504,0,0,0,0,0,0,0,0,0,885.552,0,0,0,0,0,0,0,0,0,27494.016,0,0,0,0,0,0,0,16172.928,0,0,0,61927.632,0,40670.64,0,47342.4,0,0,0,0,0,85806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEZ P2,0,0,0,0,0,0,0,0,0,0,0,166740.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5533.31,9508.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19153.899,0,32705.973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2364.636,12296.416,0,0,0,0,1263.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
